release_date,followers
2018-06-29,520735
2008-01-01,124060
2021-11-11,66558
2019-04-18,48399
2017-05-22,55050
2010-01-01,51917
2020-01-24,3073077
2021-10-15,4703788
2010-11-17,1032627
2021-06-11,4703788
2014-06-20,41540
2001-02-12,636759
2017-04-21,343598
2013-08-02,802498
2010,1032627
2022-04-29,4703788
2021-10-15,4703788
2018-03-31,105557
2014-01-20,624487
2016-09-30,802943
2006-02-19,455734
2010-02-23,252908
2008-01-01,138787
2019-01-04,155525
2014-07-16,138787
2018-02-23,68317
2017-03-31,154446
2019-09-04,94150
2014-04-08,155436
2006-09-19,198104
2016-11-18,28161
2013-09-17,876226
2016-11-28,168769
2013-01-01,381019
2022-10-12,85572
2022-10-20,85572
2022-10-18,85572
2021-03-15,55050
2015-01-19,70341
2021-07-23,55050
2016-10-19,875887
2020-12-25,520735
2012-01-01,75510
2017-11-06,35352
2020-04-17,7303760
2017-10-27,20618
2018-11-30,14178
2019-06-12,168924
2015-10-23,417094
2018-08-24,37504
2009-08-12,8267
2021-11-05,10295
1997,324004
2020-03-16,55050
2008-01-01,124060
2009-06-30,1032627
2018-09-28,14227
2018-06-01,22487
2011-12-13,167887
2007-01-01,30385
2020-05-15,3073077
2014-09-30,51566
2009-06-30,1032627
2017-12-19,3073077
2019-04-05,99978
2014-10-27,78215
1998,1032627
2019-02-01,155525
2009-08-25,802943
2020-02-21,9729
2008-10-14,802943
2012-07-24,3073077
2012-07-24,3073077
2010-02-23,252908
1995,1032627
2013-05-22,132908
2013-12-30,198104
2002-11-27,132908
2010,1032627
2003-08-27,1032627
2014-01-13,624487
2020-05-15,9581
2020-02-27,878055
2015-06-09,68019
2019-08-16,381019
2020-10-09,28258
2020-10-09,28258
2021-04-09,11998
2019-04-19,330103
2021-02-03,875887
2017-05-26,25655
2015-04-28,3073077
2021-02-12,37504
2018-12-19,2089472
2016-10-14,19602
2020-10-16,26807
2021-03-12,3073077
2018-12-17,26277
2019-12-27,520735
2017-12-19,3073077
2018-10-22,56637
